,tic,gsector
4028932,MEG.,10.0
3220494,BNRJF,15.0
3339090,CBLI,35.0
2279834,RMX.,15.0
3691590,FRCGF,40.0
390529,POR,55.0
667154,SLOT,25.0
3836961,NRBT,20.0
2331617,SMGZY,20.0
4109006,AL,20.0
699883,LBTD,25.0
2013938,SURG,50.0
2323334,SRDX,35.0
1083515,HABT,25.0
2030544,TCDA,35.0
2733916,KGF.,60.0
566808,BNS,40.0
4332368,RBGLY,30.0
4451956,FRO,10.0
882888,FPI,60.0
2427621,MMSDF,15.0
1265410,CLOW,25.0
1473766,CURR,35.0
2128739,FPCG,35.0
2520337,LAB.,15.0
3818315,TNEYF,10.0
814228,INDR,35.0
2741013,VPLM,50.0
4429971,OASMY,35.0
1207658,RQHTF,35.0
4030535,USCZF,15.0
2510503,ENAFF,45.0
3887776,PMT.PA,40.0
4184165,CEUMF,15.0
430172,CDNS,45.0
30486,BPOP,40.0
194001,LEN.B,25.0
1001079,ASFJ,45.0
2437995,FSVEF,15.0
3990799,BCRMF,15.0
3886735,ASPS,60.0
1572813,HR,60.0
4366748,OTIVF,45.0
1053526,CALA,35.0
2300609,BEGI,40.0
223389,BAC.WA,40.0
3145466,ODMO,25.0
4380626,SNDR,20.0
1343064,RDN,40.0
834499,OXFD,35.0
2952819,DIOSF,15.0
3992013,NPTN,45.0
3901830,MNMB,40.0
198519,LRNT,50.0
576246,ISG,40.0
1634935,BYSI,35.0
2294508,BRTXQ,35.0
4452207,DBVT,35.0
4238074,MKRO,15.0
4352293,WECFY,10.0
4314899,SSMXY,35.0
2807856,BETW,45.0
1014069,TTOO,35.0
1267920,LMSQF,15.0
2039285,STIM,35.0
2683105,MPH.,35.0
2912456,RFC.,40.0
956289,FRSH,25.0
623188,ELF.,40.0
3689582,PTOI,10.0
1774456,ASV,20.0
3110426,MENC,55.0
4110012,OXLCO,40.0
32745,ABX.,15.0
3149625,GPKE,40.0
2787619,SPRT,45.0
2140407,EVTN,20.0
1264902,LILAB,50.0
1292424,TOE.,15.0
3742986,CHNC,15.0
59394,CTS,45.0
69305,CTL,50.0
934226,IROG,15.0
2068245,GATGF,15.0
4273747,BGKYF,10.0
2048686,JG,45.0
733726,IKNX,15.0
530712,CFCC,25.0
2757031,PGUS,60.0
935708,CMCM,45.0
4382984,ANGO,35.0
4324540,WLWHY,25.0
1682245,RVLT,20.0
4444839,XAM.,15.0
3164845,ENGY,10.0
54868,BF.A,30.0
3660983,SHIPW,20.0
1644212,CASA,45.0
140926,GPC,25.0
3525139,UPGI,20.0
1316659,NKSH,40.0
741519,BPOL,20.0
2445680,EGPLF,15.0
170293,INTC,45.0
796315,BNFT,45.0
4341087,TDBOY,25.0
3451914,CFX.,15.0
3563787,OREXQ,35.0
4039609,EMGC,40.0
951386,IBT.,35.0
2033153,HUGE,35.0
3230797,WAL,40.0
3257390,ACCO,20.0
944427,CASC,35.0
2448582,EESE,15.0
4168555,PRTY,25.0
4021183,CKE.,10.0
1150182,OKRGQ,20.0
1241126,AMBC.WT,40.0
1789524,TRIN,40.0
2056363,MGR.,15.0
1624528,PRE.PF,40.0
577501,NA.PR.S,40.0
250530,PAR,45.0
2569589,PYCFF,40.0
2675712,BU.,15.0
2372157,WFAFY,25.0
1650817,VVI.H,15.0
1793154,SZBI,40.0
114430,ETCC,20.0
872500,GIII,25.0
3337588,GMETP,10.0
3908513,IRDMB,50.0
3750549,KKR,40.0
559635,PRTK,35.0
2863568,HYG.,20.0
2714751,NWVCF,20.0
610485,SKRR.,15.0
3490508,ISCO,35.0
2260823,RDCM,45.0
1271188,LTCCF,45.0
1395518,BTLLD,45.0
4079260,DS.,40.0
3639172,CHUM,20.0
3217166,LINC,25.0
2950306,ERHE,10.0
2184155,WLFC,20.0
4435686,APEOF,15.0
368462,TFC.PH,40.0
3092683,SRC,60.0
2354843,SINGY,20.0
69179,CSTW,20.0
3944055,BLNKW,25.0
7293,ALP.PQ,55.0
180299,MLKNA,35.0
2050149,TEV.,10.0
233338,NC,10.0
3641277,VMW,45.0
693088,KEL.,10.0
3565094,RYMM,15.0
4346535,IBOKY,40.0
2573884,USBL,50.0
943172,CTLT,35.0
3274239,HAN.,15.0
857626,NTIC,15.0
2786222,CHN.,25.0
2470865,GTAGF,15.0
3797170,TGM.,15.0
1551283,NZC.,15.0
3611381,AMC,50.0
1825702,GPMT,40.0
4139587,MGWFF,35.0
4368328,IAUFF.1,15.0
3854362,AUR.H,15.0
455503,HSE.PR.B,10.0
2154711,TC.,45.0
2406898,BPIGF,10.0
1159099,CVHIF,35.0
164327,HBP,20.0
2784150,EPC,30.0
3267435,HOLI,45.0
2852187,PRB.,15.0
2836445,SNLS,40.0
168521,TT,20.0
2073643,RE.,55.0
2602053,AXTI,45.0
2124201,APU,55.0
3791646,ALIM,35.0
233844,NRT,10.0
1797103,FWEDF,15.0
3333049,GWYT,25.0
2432172,LGREF.1,15.0
2752347,CRTN,45.0
2333549,BDRFY,30.0
754311,NHLE,30.0
917192,CORI,35.0
2472991,GPG.,15.0
3589632,DFS,40.0
2798273,GTRL,50.0
4084354,GRSU,30.0
182604,SHLDQ,25.0
992370,LATX,25.0
3167532,WGF.,15.0
3821548,SNVP,10.0
2163277,ASNB,35.0
1160727,BHE,45.0
2319186,MDL.,15.0
171297,INRD,45.0
3292962,YGRAF,10.0
3159210,LVS,25.0
578254,NA.PR.A,40.0
2790115,BCM.,15.0
2110210,HSIC,35.0
1062638,WDSL,45.0
2956095,JBLU,20.0
2863317,HYGS,20.0
617568,ENTA,35.0
3601289,NRTSF,35.0
2414872,BLX.,55.0
526601,SU.,10.0
3888529,OCTX,10.0
3659873,BST.,15.0
866627,CRCM,50.0
487054,CU.PR.G,55.0
1984202,BMXI,15.0
4103213,GRPX,20.0
3480306,LXRP,35.0
1685089,BHC,35.0
4296311,OISHY,10.0
110685,EE,55.0
1656450,PKLBF,45.0
2159858,EXAC,35.0
2770641,USAS,15.0
3777614,SNI,25.0
3300028,ANWWQ,10.0
2583504,ADRGF.1,15.0
212085,MTRT,20.0
2314508,PFIS,40.0
4461550,CSTPF,10.0
2507753,SKP.,15.0
4011067,TAHO,15.0
3162202,FLXP,40.0
1376092,LAUR,25.0
2323888,FUSB,40.0
829280,VTL,35.0
2182153,SGB,40.0
1310122,VXEL.1,25.0
2744202,GUHI,35.0
147704,GEF.B,15.0
610483,SKKRF,15.0
2516831,CHWE,40.0
4410605,EVARF,35.0
377010,LANDP,60.0
1187125,BPMC,35.0
2162524,AVDL,35.0
849283,NASB,40.0
4001700,REGX,10.0
2488638,CXCQ,45.0
2225372,RMBS,45.0
467799,FTDL,25.0
2033427,BV,20.0
567393,BNS.PQ,40.0
229316,NATR,30.0
1738364,CETV,50.0
2079831,HMNU,40.0
3203663,TPX.A,30.0
2780632,SLF.PR.B,40.0
2017651,PS,45.0
1184848,TWAC,40.0
1198474,MRPI,35.0
2493324,KMFI,25.0
2491723,SMR.,15.0
269126,NXGN,35.0
1548657,VNRCF,55.0
1254048,JP,40.0
3078183,PDPTF,20.0
1670181,LMSC,45.0
1636528,SCHN,15.0
3993708,SBOT,35.0
4177614,TM.,15.0
743864,PGEM,20.0
3797797,WMR.,15.0
3798048,LAC,15.0
483030,WCM.B,40.0
3658619,SPI,45.0
3077932,EXG.,15.0
3525252,TOGL,50.0
4027426,ASMB,35.0
3315074,RGGI,10.0
441426,TEF,50.0
905487,RMNI,45.0
3955102,IFLM,50.0
4386577,CST.,20.0
2062572,YMAB,35.0
4140165,SVROF,15.0
1509597,PMEHF,10.0
2648236,EEGC,10.0
4347790,ORSTF,50.0
3028880,YOOIF,50.0
780300,CBDS,35.0
1773154,GNTY,40.0
1508343,XOGAQ,10.0
1021547,FCSC,35.0
